Date,Close
10/1/2012,369.07
10/2/2012,369.91
10/3/2012,372.14
10/4/2012,376.79
10/5/2012,381.29
10/8/2012,381.42
10/9/2012,379.89
10/10/2012,377.35
10/11/2012,374.35
10/12/2012,373.05
10/15/2012,374.72
10/16/2012,370.69
10/17/2012,369.47
10/18/2012,370.39
10/19/2012,369
10/22/2012,365.8
10/23/2012,366.74
10/24/2012,364.36
10/25/2012,367.78
10/26/2012,370.75
10/31/2012,375
11/1/2012,380.34
11/2/2012,382.91
11/5/2012,383.23
11/6/2012,385.26
11/7/2012,384.37
11/8/2012,378.97
11/9/2012,376.89
11/12/2012,374.38
11/13/2012,373.55
11/14/2012,369.75
11/15/2012,372.78
11/16/2012,380.5
11/19/2012,382.3
11/20/2012,381.13
11/21/2012,381.87
11/23/2012,383.12
11/26/2012,382.93
11/27/2012,382.38
11/28/2012,383.86
11/29/2012,379.78
11/30/2012,383.77
12/3/2012,378.01
12/4/2012,366.8
12/5/2012,360.27
12/6/2012,364.07
12/7/2012,359.16
12/10/2012,355.15
12/11/2012,355.5
12/12/2012,357.56
12/13/2012,359.32
12/14/2012,357.68
12/17/2012,363.4
12/18/2012,360.07
12/19/2012,359.48
12/20/2012,356.02
12/21/2012,358.28
12/24/2012,355.2
12/26/2012,351.09
12/27/2012,353.1
12/28/2012,348.57
12/31/2012,354.43
1/2/2013,356.88
1/3/2013,356.14
1/4/2013,360.85
1/7/2013,356.17
1/8/2013,348.25
1/9/2013,349.6
1/10/2013,346.5
1/11/2013,346.23
1/14/2013,344.99
1/15/2013,350.9
1/16/2013,349.33
1/17/2013,348.63
1/18/2013,349.6
1/22/2013,353.37
1/23/2013,356.53
1/24/2013,357.57
1/25/2013,365.36
1/28/2013,369.52
1/29/2013,361.95
1/30/2013,364.85
1/31/2013,369.7
2/1/2013,374.88
2/4/2013,367.05
2/5/2013,368.77
2/6/2013,369
2/7/2013,379.85
2/8/2013,385.89
2/11/2013,385.23
2/12/2013,382.09
2/13/2013,379.73
2/14/2013,373.61
2/15/2013,373.7
2/19/2013,375.21
2/20/2013,379.96
2/21/2013,377.56
2/22/2013,385.2
2/25/2013,378.54
2/26/2013,376.15
2/27/2013,376.79
2/28/2013,380.15
3/1/2013,378.14
3/4/2013,380.66
3/5/2013,382.32
3/6/2013,376.55
3/7/2013,381.52
3/8/2013,385.25
3/11/2013,388.33
3/12/2013,388.87
3/13/2013,392.04
3/14/2013,389.65
3/15/2013,391.89
3/18/2013,391.47
3/19/2013,390.41
3/20/2013,396
3/21/2013,393.26
3/22/2013,395.72
3/25/2013,393.33
3/26/2013,394.04
3/27/2013,393.94
3/28/2013,396.77
4/1/2013,393.19
4/2/2013,400.99
4/3/2013,393.98
4/4/2013,401.83
4/5/2013,397.2
4/8/2013,395.36
4/9/2013,384.03
4/10/2013,389.98
4/11/2013,392.83
4/12/2013,393.57
4/15/2013,384.87
4/16/2013,384.59
4/17/2013,381.93
4/18/2013,379.01
4/19/2013,378.43
4/22/2013,378.76
4/23/2013,383.62
4/24/2013,383.95
4/25/2013,398.26
4/26/2013,406.73
4/29/2013,403.87
4/30/2013,409.09
5/1/2013,410.28
5/2/2013,407.58
5/3/2013,411.11
5/6/2013,413.49
5/7/2013,418.95
5/8/2013,419.27
5/9/2013,415.33
5/10/2013,420.95
5/13/2013,415.76
5/14/2013,417.56
5/15/2013,418.28
5/16/2013,413.5
5/17/2013,411.29
5/20/2013,409.05
5/21/2013,427.84
5/22/2013,417.72
5/23/2013,418.9
5/24/2013,415.81
5/28/2013,418.95
5/29/2013,416.75
5/30/2013,417.94
5/31/2013,408.83
6/3/2013,411.21
6/4/2013,407.8
6/5/2013,405.31
6/6/2013,415.39
6/7/2013,416.68
6/10/2013,418.75
6/11/2013,415
6/12/2013,416
6/13/2013,419.5
6/14/2013,423.34
6/17/2013,424.83
6/18/2013,425.33
6/19/2013,420.75
6/20/2013,412.65
6/21/2013,411.98
6/24/2013,414.99
6/25/2013,421.48
6/26/2013,413.99
6/27/2013,422.87
6/28/2013,423.69
7/1/2013,425.27
7/2/2013,424.2
7/3/2013,423.88
7/5/2013,428.52
7/8/2013,434.91
7/9/2013,434.56
7/10/2013,433.48
7/11/2013,441
7/12/2013,439.3
7/15/2013,438
7/16/2013,433.71
7/17/2013,430
7/18/2013,435.32
7/19/2013,435.97
7/22/2013,437.72
7/23/2013,438.45
7/24/2013,436.35
7/25/2013,438.02
7/26/2013,439.66
7/29/2013,440.73
7/30/2013,444.69
7/31/2013,448.58
8/1/2013,447.99
8/2/2013,448.04
8/5/2013,448.25
8/6/2013,445.01
8/7/2013,435.04
8/8/2013,429.02
8/9/2013,429.59
8/12/2013,425.6
8/13/2013,433.8
8/14/2013,428.55
8/15/2013,420.06
8/16/2013,416.52
8/19/2013,420.4
8/20/2013,424.83
8/21/2013,419.96
8/22/2013,421.11
8/23/2013,422.35
8/26/2013,421.42
8/27/2013,419.12
8/28/2013,420.02
8/29/2013,421.52
8/30/2013,419.94
9/3/2013,419.76
9/4/2013,422.81
9/5/2013,420.1
9/6/2013,417.53
9/9/2013,416.5
9/10/2013,419.92
9/11/2013,420.83
9/12/2013,417.06
9/13/2013,415.7
9/16/2013,411.89
9/17/2013,418.51
9/18/2013,420.62
9/19/2013,422.79
9/20/2013,420
9/23/2013,417.81
9/24/2013,414.31
9/25/2013,425.07
9/26/2013,421.68
9/27/2013,422.57
9/30/2013,422.73
10/1/2013,425.11
10/2/2013,423
10/3/2013,418.26
10/4/2013,421.89
10/7/2013,419.83
10/8/2013,415.71
10/9/2013,415.27
10/10/2013,420.77
10/11/2013,424.61
10/14/2013,426.04
10/15/2013,420.23
10/16/2013,424.63
10/17/2013,429.13
10/18/2013,432.11
10/21/2013,434.73
10/22/2013,435.6
10/23/2013,432.59
10/24/2013,427.18
10/25/2013,429.47
10/28/2013,429.84
10/29/2013,429.83
10/30/2013,429.94
10/31/2013,434.69
11/1/2013,434.83
11/4/2013,436.51
11/5/2013,442.06
11/6/2013,447.42
11/7/2013,443.49
11/8/2013,448.55
11/11/2013,447.79
11/12/2013,451.55
11/13/2013,456.88
11/14/2013,458.34
11/15/2013,464.08
11/18/2013,459.56
11/19/2013,463.84
11/20/2013,461.3
11/21/2013,469.34
11/22/2013,467.69
11/25/2013,465.7
11/26/2013,457.28
11/27/2013,458.8
11/29/2013,461.6
12/2/2013,459.62
12/3/2013,460.51
12/4/2013,456.02
12/5/2013,460
12/6/2013,459.6
12/9/2013,457.34
12/10/2013,471.86
12/11/2013,467.79
12/12/2013,465.9
12/13/2013,465.18
12/16/2013,464
12/17/2013,461.76
12/18/2013,470.56
12/19/2013,470.84
12/20/2013,473.19
12/23/2013,472.32
12/24/2013,475.57
12/26/2013,476.85
12/27/2013,476.83
12/30/2013,479.33
12/31/2013,477.94
1/2/2014,474.11
1/3/2014,475.5
1/6/2014,478.77
1/7/2014,483.59
1/8/2014,489.07
1/9/2014,492.45
1/10/2014,490
1/13/2014,486.38
1/14/2014,495.78
1/15/2014,495.08
1/16/2014,495.47
1/17/2014,505.86
1/21/2014,502.24
1/22/2014,503.38
1/23/2014,499.29
1/24/2014,499.25
1/27/2014,503.6
1/28/2014,501.03
1/29/2014,492.94
1/30/2014,498.92
1/31/2014,495.06
2/3/2014,483.06
2/4/2014,486.19
2/5/2014,487.32
2/6/2014,517.16
2/7/2014,534.4
2/10/2014,526.43
2/11/2014,536.12
2/12/2014,542.07
2/13/2014,540.8
2/14/2014,539.08
2/18/2014,542
2/19/2014,536.34
2/20/2014,538.59
2/21/2014,538.96
2/24/2014,542.21
2/25/2014,539.3
2/26/2014,535.04
2/27/2014,538.46
2/28/2014,538.44
3/3/2014,541.23
3/4/2014,538.56
3/5/2014,543.84
3/6/2014,541.5
3/7/2014,541.99
3/10/2014,541.63
3/11/2014,539.98
3/12/2014,540.91
3/13/2014,528.74
3/14/2014,533.25
3/17/2014,539.45
3/18/2014,538.35
3/19/2014,533.36
3/20/2014,533
3/21/2014,536.86
3/24/2014,530.39
3/25/2014,528.9
3/26/2014,522.75
3/27/2014,525.71
3/28/2014,527.44
3/31/2014,537.1
4/1/2014,536.54
4/2/2014,535.47
4/3/2014,535.61
4/4/2014,526.12
4/7/2014,519
4/8/2014,525.48
4/9/2014,527.46
4/10/2014,514.59
4/11/2014,511.28
4/14/2014,515.28
4/15/2014,519.7
4/16/2014,522.14
4/17/2014,516.16
4/21/2014,519.4
4/22/2014,521.55
4/23/2014,526.25
4/24/2014,525.88
4/25/2014,522.32
4/28/2014,531.45
4/29/2014,529.62
4/30/2014,533.89
5/1/2014,526.79
5/2/2014,529.54
5/5/2014,530.06
5/6/2014,526.73
5/7/2014,524.6
5/8/2014,530.86
5/9/2014,535.92
5/12/2014,543.38
5/13/2014,533.11
5/14/2014,529.4
5/15/2014,524.28
5/16/2014,527.02
5/19/2014,532.76
5/20/2014,528.74
5/21/2014,534.87
5/22/2014,541.66
5/23/2014,540.9
5/27/2014,520.25
5/28/2014,533.34
5/29/2014,527.47
5/30/2014,532.5
6/2/2014,531.43
6/3/2014,528.11
6/4/2014,541.15
6/5/2014,537.94
6/6/2014,540.78
6/9/2014,532.57
6/10/2014,532.48
6/11/2014,529.1
6/12/2014,524.37
6/13/2014,523.1
6/16/2014,524.81
6/17/2014,524.34
6/18/2014,526.98
6/19/2014,527.99
6/20/2014,530.79
6/23/2014,532.94
6/24/2014,530.67
6/25/2014,532
6/26/2014,532.4
6/27/2014,535.32
6/30/2014,536.24
7/1/2014,536.82
7/2/2014,535.31
7/3/2014,539.46
7/7/2014,538.24
7/8/2014,535.11
7/9/2014,538.66
7/10/2014,534.02
7/11/2014,533.45
7/14/2014,533.66
7/15/2014,533.51
7/16/2014,531.82
7/17/2014,524.69
7/18/2014,520.56
7/21/2014,515.17
